id,time,value
PC1,2021-10-28,-0.9834069684000531
PC1,2021-10-29,-1.089894096592218
PC1,2021-10-30,-0.7332090328668956
PC1,2021-10-31,-0.7152806110123117
PC1,2021-11-01,-0.631202149010561
PC1,2021-11-02,-1.1181175204665392
PC1,2021-11-03,-0.06475508141123307
PC1,2021-11-04,-1.5627471301168652
PC1,2021-11-05,0.21662499919152134
PC1,2021-11-06,-0.06557270480474678
PC1,2021-11-07,-0.701129123418847
PC1,2021-11-08,-1.3077375605160961
PC1,2021-11-09,-0.8447321245351834
PC1,2021-11-10,-0.3516408472120981
PC1,2021-11-11,-1.4352423453164806
PC1,2021-11-12,-1.530870933916769
PC1,2021-11-13,-1.2121089719158078
PC1,2021-11-14,-1.3714899529162885
PC1,2021-11-15,-1.3077375605160961
PC1,2021-11-16,-0.7762988990119731
PC1,2021-11-17,-1.1955401072691596
PC1,2021-11-18,-1.4352423453164806
PC1,2021-11-19,-0.48644629333644546
PC1,2021-11-20,-1.6902519149172497
PC1,2021-11-21,0.5081432558046155
PC1,2021-11-22,-0.29860006542908185
PC1,2021-11-23,-1.1595495915651086
PC1,2021-11-24,0.5131141628684368
PC1,2021-11-25,-0.867517719239016
PC1,2021-11-26,-0.21840121258275388
PC1,2021-11-27,-1.0527279909153273
PC1,2021-11-28,-1.0527279909153273
PC1,2021-11-29,-1.4352423453164806
PC1,2021-11-30,-0.7770352371639551
PC1,2021-12-01,-0.21840121258275388
PC1,2021-12-02,-0.749103535934895
PC1,2021-12-03,0.2988664436972404
PC1,2021-12-04,0.10068098585001495
PC1,2021-12-05,-1.019086981080383
PC1,2021-12-06,-0.5458847467900227
PC1,2021-12-07,-0.30283678913354956
PC1,2021-12-08,-0.3816517048473031
PC1,2021-12-09,-1.1483565795156156
PC1,2021-12-10,-0.7977184213145585
PC1,2021-12-11,2.5116839496227743
PC1,2021-12-12,-0.701129123418847
PC1,2021-12-13,0.20718235006798813
PC1,2021-12-14,-0.19225986621161753
PC1,2021-12-15,0.4192573625920031
PC1,2021-12-16,0.7779700959941053
PC1,2021-12-17,-0.13130208678815314
PC1,2021-12-18,0.6544490585656535
PC1,2021-12-19,1.8734446391209116
PC1,2021-12-20,3.487787204538699
PC1,2021-12-21,0.7453100386644497
PC1,2021-12-22,0.7204288967660739
PC1,2021-12-23,-0.38332787071330915
PC1,2021-12-24,0.21176731790263972
PC1,2021-12-25,-0.4669857933211453
PC1,2021-12-26,3.110298931173947
PC1,2021-12-27,2.156855758972118
PC1,2021-12-28,0.031062679887940318
PC1,2021-12-29,1.5851836210735453
PC1,2021-12-30,4.555810883888317
PC1,2021-12-31,-0.8295946175146547
PC1,2022-01-01,1.6938503229912045
PC1,2022-01-02,2.8520875768102023
PC1,2022-01-03,0.8607480304235868
PC1,2022-01-04,2.2892153381732503
PC1,2022-01-05,0.22722506135497617
PC1,2022-01-06,-0.6702136365141741
PC1,2022-01-07,-0.4789564593135975
PC1,2022-01-08,0.13467983581320586
PC1,2022-01-09,-0.9570994023150391
PC1,2022-01-10,-0.08364791070391284
PC1,2022-01-11,0.4150147267354625
PC1,2022-01-12,0.7682704181440653
PC1,2022-01-13,0.09548143483849042
PC1,2022-01-14,0.16915181506966392
PC1,2022-01-15,2.019925526287479
PC1,2022-01-16,0.9422076008816174
PC1,2022-01-17,0.011980677896375512
PC1,2022-01-18,-0.7888687220770634
PC1,2022-01-19,0.8972915441073525
PC1,2022-01-20,0.25371636548918625
PC1,2022-01-21,0.39697470269081775
PC1,2022-01-22,0.5791441652832642
PC1,2022-01-23,1.8876207112668157
PC1,2022-01-24,-0.9076376166955498
PC1,2022-01-25,0.046011014209583985
