id,time,value
PC1,2022-04-07,-0.4780064315342338
PC1,2022-04-08,1.3039002776336488
PC1,2022-04-09,0.3204695483105236
PC1,2022-04-10,-0.34251504933338095
PC1,2022-04-11,0.26320337521604115
PC1,2022-04-12,-0.677137760701765
PC1,2022-04-13,-0.5040900241615476
PC1,2022-04-14,-0.08958951107812907
PC1,2022-04-15,2.397234800180062
PC1,2022-04-16,1.9773134886434325
PC1,2022-04-17,-1.2047501485057008
PC1,2022-04-18,-2.0083198448331707
PC1,2022-04-19,-0.04714917859384943
PC1,2022-04-20,0.30087804808422497
PC1,2022-04-21,-1.7055447611076873
PC1,2022-04-22,0.16002001199323562
PC1,2022-04-23,1.1565202254918479
PC1,2022-04-24,-1.1550744187433415
PC1,2022-04-25,-0.5449451917719366
PC1,2022-04-26,-1.3910105289028087
PC1,2022-04-27,-0.7444371256029277
PC1,2022-04-28,-0.2783009084201583
PC1,2022-04-29,1.2601035325137226
PC1,2022-04-30,3.46201152939489
PC1,2022-05-01,-1.3641974584782108
PC1,2022-05-02,-1.0428518215882694
PC1,2022-05-03,-0.34168174505919346
PC1,2022-05-04,-1.041420709013193
PC1,2022-05-05,-0.024777561864017635
PC1,2022-05-06,-0.39045522400839194
PC1,2022-05-07,0.4862993767377985
PC1,2022-05-08,-1.568996698074999
PC1,2022-05-09,-0.3573090071188753
PC1,2022-05-10,0.03942726788684575
PC1,2022-05-11,-0.3475543113290356
PC1,2022-05-12,-0.38054543322774276
PC1,2022-05-13,-0.13591197308240616
PC1,2022-05-14,0.3251303387577206
PC1,2022-05-15,-0.2954086550447621
PC1,2022-05-16,0.6960559585435518
PC1,2022-05-17,0.3716984195238302
PC1,2022-05-18,0.007908074830422166
PC1,2022-05-19,0.4765366013375249
PC1,2022-05-20,-0.7898524431567622
PC1,2022-05-21,2.064911401288445
PC1,2022-05-22,-1.7294145404275085
PC1,2022-05-23,-1.3910105289028087
PC1,2022-05-24,-0.5293179297122548
PC1,2022-05-25,0.2688574585655172
PC1,2022-05-26,1.887272266482139
PC1,2022-05-27,1.3663085012623797
PC1,2022-05-28,0.09667086931897884
PC1,2022-05-29,-1.5967803008795962
PC1,2022-05-30,0.2709397912365447
PC1,2022-05-31,-0.3177249634554711
PC1,2022-06-01,1.5221673470093418
PC1,2022-06-02,0.14325310662303403
PC1,2022-06-03,-0.10452932641905995
PC1,2022-06-04,1.0310886737239917
PC1,2022-06-05,-0.557609021471526
PC1,2022-06-06,-1.5577615177202373
PC1,2022-06-07,-0.22432903267927878
PC1,2022-06-08,-0.653782638344218
PC1,2022-06-09,-0.04326704907385187
PC1,2022-06-10,0.9527921280420971
PC1,2022-06-11,2.4552202397758123
PC1,2022-06-12,-1.9493310898990557
PC1,2022-06-13,-0.5552651480658216
PC1,2022-06-14,0.8266513538297419
PC1,2022-06-15,0.6408446528204659
PC1,2022-06-16,-1.568996698074999
PC1,2022-06-17,2.7959979693576034
PC1,2022-06-18,1.9073093776883683
PC1,2022-06-19,-2.207756470345039
PC1,2022-06-20,-0.36073055644379604
PC1,2022-06-21,-1.3617464415332896
PC1,2022-06-22,0.8988643584719883
PC1,2022-06-23,0.3828798525695594
PC1,2022-06-24,0.11520972851865885
PC1,2022-06-25,1.4256431596295456
PC1,2022-06-26,-1.2120538273506192
PC1,2022-06-27,-0.8256047719820097
PC1,2022-06-28,0.9560584669766201
PC1,2022-06-29,0.41693217121752363
PC1,2022-06-30,0.47096462663466815
PC1,2022-07-01,-0.8419840835013247
PC1,2022-07-02,1.769642115557875
PC1,2022-07-03,-0.21723979694950957
PC1,2022-07-04,1.8272184786339767
PC1,2022-07-05,-2.440339312746424
PC1,2022-04-01,-2.024472023415746
PC1,2022-04-02,0.04487961827053606
PC1,2022-04-03,1.9304616197239348
PC1,2022-04-04,1.006091420800415
PC1,2022-04-05,-2.0408390619575036
PC1,2022-04-06,0.9411890069054178
PC1,2022-03-27,-0.7695199715927863
PC1,2022-03-28,-0.7559925390302709
PC1,2022-03-29,-1.102086714767328
PC1,2022-03-30,0.31030385695491447
PC1,2022-03-31,-0.911151165413369
PC1,2022-03-24,-0.8696018947013144
PC1,2022-03-25,0.11546715181200114
PC1,2022-03-26,-0.2068764679944994
PC1,2022-03-13,-1.0847189644549255
PC1,2022-03-14,-0.4315000987536308
PC1,2022-03-15,0.01843354279772293
PC1,2022-03-16,-1.0537823327960951
PC1,2022-03-17,-0.7490329438880763
PC1,2022-03-18,-1.0430247636764276
PC1,2022-03-19,0.5803847278325657
PC1,2022-03-20,-2.606286603479195
PC1,2022-03-21,-0.79778803927378406
PC1,2022-03-22,0.11747038736832036
PC1,2022-03-23,-1.8989318797051131
PC1,2022-03-10,0.2964241264460421
PC1,2022-03-11,0.6321432169447697
PC1,2022-03-12,-1.244736042439497
PC1,2022-03-01,0.5316262185005972
PC1,2022-03-02,0.9530256137529648
PC1,2022-03-03,0.3901069767592142
PC1,2022-03-04,0.7596886991310416
PC1,2022-03-05,0.18925862539468635
PC1,2022-03-06,0.8145003786872167
PC1,2022-03-07,-0.6276870702643346
PC1,2022-03-08,0.091177991224245
PC1,2022-03-09,0.5316262185005972
PC1,2022-02-28,-0.5973155822506435
PC1,2022-02-25,-0.505965448857419
PC1,2022-02-26,-0.962237415813044
PC1,2022-02-27,1.304152567147103
PC1,2022-02-24,-0.5742040854758941
PC1,2022-02-17,-0.35841437726693876
PC1,2022-02-18,-0.5067852595151952
PC1,2022-02-19,-1.0373655474423653
PC1,2022-02-20,0.9038130484629284
PC1,2022-02-21,1.0494047841509748
