id,time,value
PC1,2021-11-01,-1.4902224634712253
PC1,2021-11-02,1.6742833913682158
PC1,2021-11-03,-0.32888404330104104
PC1,2021-11-04,0.8317670653135921
PC1,2021-11-05,0.7204785739367737
PC1,2021-11-06,1.9610274540412285
PC1,2021-11-07,0.12449030171513947
PC1,2021-11-08,0.9824864361001096
PC1,2021-11-09,-0.3755637976779433
PC1,2021-11-10,0.010108983553562854
PC1,2021-11-11,-0.17570473983079019
PC1,2021-11-12,-0.07151237080544744
PC1,2021-11-13,1.13320016904788
PC1,2021-11-14,-1.92493685524538
PC1,2021-11-15,-1.085464317716521
PC1,2021-11-16,1.458415345446425
PC1,2021-11-17,-0.5510848575693285
PC1,2021-11-18,0.12641567545904922
PC1,2021-11-19,1.6368381996389134
PC1,2021-11-20,0.5059849465892564
PC1,2021-11-21,-1.2858689515377777
PC1,2021-11-22,-1.5133223992386349
PC1,2021-11-23,-0.7216259426935889
PC1,2021-11-24,-1.4138537425447846
PC1,2021-11-25,-1.9633694845661553
PC1,2021-11-26,-2.0762179936989846
PC1,2021-11-27,-0.8575253493348338
PC1,2021-11-28,-0.5884755777377193
PC1,2021-11-29,-2.5070651876491223
PC1,2021-11-30,-1.2759853030961694
PC1,2021-12-01,-1.6463472203060399
PC1,2021-12-02,-1.3967646195562202
PC1,2021-12-03,-1.6673035411186212
PC1,2021-12-04,-1.0703552445696065
PC1,2021-12-05,0.12716847560979133
PC1,2021-12-06,-1.84046274484426
PC1,2021-12-07,-0.9091414194154003
PC1,2021-12-08,-0.6175971387814242
PC1,2021-12-09,0.30642601477802534
PC1,2021-12-10,-0.5635647950805848
PC1,2021-12-11,0.24019156689007812
PC1,2021-12-12,-0.08015231921995036
PC1,2021-12-13,2.7772202989965162
PC1,2021-12-14,2.5170505465565536
PC1,2021-12-15,2.656789942294552
PC1,2021-12-16,-0.12279593146412494
PC1,2021-12-17,0.9281267035297004
PC1,2021-12-18,0.9118722655168814
PC1,2021-12-19,1.404088254905197
PC1,2021-12-20,0.03522699038733611
PC1,2021-12-21,0.6284279951620516
PC1,2021-12-22,0.4140218904782847
PC1,2021-12-23,-0.2973896090573103
PC1,2021-12-24,0.3119621193734903
PC1,2021-12-25,-1.3645776990982343
PC1,2021-12-26,2.0409853349307077
PC1,2021-12-27,0.40397985158220234
PC1,2021-12-28,2.339184080835619
PC1,2021-12-29,1.5868910363297952
PC1,2021-12-30,-0.24627525135055756
PC1,2021-12-31,-0.5808228623778605
PC1,2022-01-01,-0.4261274047518885
PC1,2022-01-02,-0.09819603323397816
PC1,2022-01-03,0.584660847583703
PC1,2022-01-04,0.6869822603196625
PC1,2022-01-05,1.294855855819456
PC1,2022-01-06,-1.0897025093671835
PC1,2022-01-07,0.524961422097017
PC1,2022-01-08,-0.291335137215005
PC1,2022-01-09,0.05562154353283038
PC1,2022-01-10,0.7878581821537959
PC1,2022-01-11,0.1879153939812238
PC1,2022-01-12,-1.44740990691834
PC1,2022-01-13,0.4652122906344652
PC1,2022-01-14,0.006918080250817612
PC1,2022-01-15,0.5546884098712692
PC1,2022-01-16,0.00825447760037698
PC1,2022-01-17,0.30211131749789216
PC1,2022-01-18,-0.11651220137662155
PC1,2022-01-19,0.8659068268859644
PC1,2022-01-20,1.1628292848409745
PC1,2022-01-21,0.41937260042884156
PC1,2022-01-22,-0.21280097180200605
PC1,2022-01-23,-0.5131051069002025
PC1,2022-01-24,-0.1006287571904483
PC1,2022-01-25,-0.1290850407471613
PC1,2022-01-26,-0.6404572624493987
PC1,2022-01-27,0.3898199902652178
PC1,2022-01-28,-0.5735955582991736
PC1,2022-01-29,-0.8438890299233933
