id,time,value
PC1,2022-02-28,-0.9963649280577634
PC1,2022-03-01,-0.821125863494902
PC1,2022-03-02,-0.4109565630664902
PC1,2022-03-03,-0.16268914898343345
PC1,2022-03-04,0.5584108320896742
PC1,2022-03-05,0.4271703998814408
PC1,2022-03-06,0.31978846114638954
PC1,2022-03-07,3.478701269995606
PC1,2022-03-08,3.407420647202612
PC1,2022-03-09,5.826429451656565
PC1,2022-03-10,6.01523620092231
PC1,2022-03-11,3.977447219907313
PC1,2022-03-12,2.1709080599627297
PC1,2022-03-13,3.003489954907972
PC1,2022-03-14,2.2865617197781343
PC1,2022-03-15,1.7646377831533353
PC1,2022-03-16,0.664665297703759
PC1,2022-03-17,2.1068708931973767
PC1,2022-03-18,0.4289710849477656
PC1,2022-03-19,-0.3876821100204099
PC1,2022-03-20,0.7061049845733157
PC1,2022-03-21,1.0269899537826166
PC1,2022-03-22,1.2071068951145498
PC1,2022-03-23,-0.21632120921563466
PC1,2022-03-24,-0.4200310313395202
PC1,2022-03-25,-0.22730232434369682
PC1,2022-03-26,-0.8513566798922427
PC1,2022-03-27,-0.29678652588532
PC1,2022-03-28,0.46016037084944983
PC1,2022-03-29,-0.6259710805081189
PC1,2022-03-30,0.3588983419317243
PC1,2022-03-31,-0.029393267444348597
PC1,2022-04-01,-0.25475408465256677
PC1,2022-04-02,-0.9555210438967935
PC1,2022-04-03,-0.8026200192961579
PC1,2022-04-04,-0.6760224005146908
PC1,2022-04-05,-0.19429865998535578
PC1,2022-04-06,-0.6671564006778438
PC1,2022-04-07,-0.9218367246281666
PC1,2022-04-08,-0.20629747914153904
PC1,2022-04-09,-0.5782653559927083
PC1,2022-04-10,-0.8850893317481227
PC1,2022-04-11,0.045830406097836264
PC1,2022-04-12,-0.1549445466184381
PC1,2022-04-13,-0.5119392340868546
PC1,2022-04-14,-0.13249894406056717
PC1,2022-04-15,-0.3927308342813688
PC1,2022-04-16,-1.3182279085689295
PC1,2022-04-17,-1.319037244087911
PC1,2022-04-18,-0.1760740395772499
PC1,2022-04-19,-0.4871667291296583
PC1,2022-04-20,-0.5126263564843637
PC1,2022-04-21,-0.5417329438147044
PC1,2022-04-22,-0.6513716458987014
PC1,2022-04-23,-1.0969311534280506
PC1,2022-04-24,-1.274306924454181
PC1,2022-04-25,-0.3451582817847264
PC1,2022-04-26,-1.119608930107537
PC1,2022-04-27,-0.7618724824247758
PC1,2022-04-28,-1.1324704361110922
PC1,2022-04-29,0.06831401486065293
PC1,2022-04-30,-0.8950961870652777
PC1,2022-05-01,-0.8629710508637719
PC1,2022-05-02,-0.04838337785011359
PC1,2022-05-03,-0.9805738436395792
PC1,2022-05-04,-0.2591705134187864
PC1,2022-05-05,0.43598355636975133
PC1,2022-05-06,-0.6997205456728012
PC1,2022-05-07,-1.147082844838632
PC1,2022-05-08,-0.7779895517666301
PC1,2022-05-09,-0.2603088818952506
PC1,2022-05-10,0.16953321441896385
PC1,2022-05-11,-0.6407245711415621
PC1,2022-05-12,-0.7314573366385776
PC1,2022-05-13,-0.49932265436287626
PC1,2022-05-14,-0.4467116984958492
PC1,2022-05-15,-1.0463233702998938
PC1,2022-05-16,0.3011211391687095
PC1,2022-05-17,-0.637930151124866
PC1,2022-05-18,-0.5265821855758599
PC1,2022-05-19,-0.6866017647090902
PC1,2022-05-20,-0.42671822846048657
PC1,2022-05-21,-1.0189327369247945
PC1,2022-05-22,-0.8832556888676472
PC1,2022-05-23,-0.31914224971169397
PC1,2022-05-24,-0.1325957840916545
PC1,2022-05-25,0.13320054878114487
PC1,2022-05-26,-0.7414824135296839
PC1,2022-05-27,0.6563248297115336
PC1,2022-05-28,-0.9956005265430461
PC1,2022-05-29,-2.8250585069198655
PC1,2022-02-25,0.16011715608047217
PC1,2022-02-26,0.8956455168298653
PC1,2022-02-27,1.5282542563881116
PC1,2022-02-24,-0.5803696898084137
PC1,2022-02-17,-1.3440619010699957
PC1,2022-02-18,-1.2844208531524484
PC1,2022-02-19,-1.0511354342707269
PC1,2022-02-20,-1.1852891740957303
PC1,2022-02-21,-0.26982337360085606
PC1,2022-02-22,-0.8808626960465943
PC1,2022-02-23,-0.581373840696422
PC1,2022-02-16,-0.8514778197410419
PC1,2022-02-10,-0.7086433922605354
PC1,2022-02-11,-0.9420303526903058
PC1,2022-02-12,-1.236450168431057
PC1,2022-02-13,-1.6637754500796118
PC1,2022-02-14,-0.7557727022622904
PC1,2022-02-15,-0.4741586724628877
PC1,2022-02-09,-1.115697887924263
PC1,2022-02-05,-1.7520013128832326
PC1,2022-02-06,-1.220544848079302
PC1,2022-02-07,-0.8412895324037186
PC1,2022-02-08,-0.1094984989359608
PC1,2022-02-02,-0.653120846139791
PC1,2022-02-03,-0.36941712479312455
PC1,2022-02-04,-0.9925587678347932
PC1,2022-01-28,-0.9183726744432
PC1,2022-01-29,-0.66003515563423
PC1,2022-01-30,-1.9336273401952784
PC1,2022-01-31,0.2101060590081971
PC1,2022-02-01,-0.6571697715210896
PC1,2022-01-22,-1.3557419513287778
PC1,2022-01-23,-1.4257209246490357
PC1,2022-01-24,-0.10102250380485976
PC1,2022-01-25,-0.591734392986796
PC1,2022-01-26,-1.02464402202769
PC1,2022-01-27,-0.8897362867660271
PC1,2022-01-19,0.15289834423672377
PC1,2022-01-20,-0.7033710219224133
PC1,2022-01-21,-0.9074838167436594
PC1,2022-01-15,-1.3398288184068188
PC1,2022-01-16,-1.2873616800390584
PC1,2022-01-17,-0.4685690984870197
PC1,2022-01-18,0.03254249757649561
