time,value
2007-01-01,46.46488975558696
2007-01-02,46.51882108043263
2007-01-03,46.62662937478102
2007-01-04,46.788314617926474
2007-01-05,47.003876829753835
2007-01-06,47.27331599404743
2007-01-07,47.596632123204614
2007-01-08,45.86396197968228
2007-01-09,42.07530556814244
2007-01-10,36.23066288094701
2007-01-11,28.330033928477498
2007-01-12,18.373418702997448
2007-01-13,6.360817206315257
2007-01-14,-7.707770563657078
2007-01-15,-19.063718021769887
2007-01-16,-27.707025164240736
2007-01-17,-33.6376919995877
2007-01-18,-36.85571852039173
2007-01-19,-37.361104733098784
2007-01-20,-35.15385062854424
2007-01-21,-30.233956217580545
2007-01-22,-25.963751219110684
2007-01-23,-22.34323562297065
2007-01-24,-19.372409439009562
2007-01-25,-17.051272663520976
2007-01-26,-15.37982529692081
2007-01-27,-14.358067332464799
2007-01-28,-13.985998783355782
2007-01-29,-13.316605377336113
2007-01-30,-12.349887109264895
2007-01-31,-11.085843977858481
2007-02-01,-9.524475986859407
2007-02-02,-7.809133843188482
2007-02-03,-5.939817543655075
2007-02-04,-3.9165270786293185
2007-02-05,-2.2833666027386195
2007-02-06,-1.040336096698355
2007-02-07,-0.18743556884250268
2007-02-08,0.2753349874157678
2007-02-09,0.34797556133558505
2007-02-10,0.030486163857315063
2007-02-11,-0.6771332098809006
2007-02-12,-1.058809759472508
2007-02-13,31.440635347556462
2007-02-14,-0.8443343808212038
2007-02-15,-0.24818245439011655
2007-02-16,0.6739123015014457
2007-02-17,1.921949883782835
2007-02-18,3.4959302906527228
2007-02-19,4.7301847858499055
2007-02-20,5.6247133754715435
2007-02-21,6.179516054609315
2007-02-22,6.394592828406813
2007-02-23,6.269943696530461
2007-02-24,5.805568651100431
2007-02-25,5.001467705407742
2007-02-26,4.1434241308536794
2007-02-27,3.231437942329668
2007-02-28,2.265509126030353
2007-03-01,1.245637694872734
2007-03-02,0.3002991631278418
2007-03-03,-0.5705064782202216
2007-03-04,-1.3667792271942183
2007-03-05,-2.020363923904189
2007-03-06,-2.5312605800005215
2007-03-07,-2.8994691941787063
2007-03-08,-3.124989763335077
2007-03-09,-3.207822289888417
2007-03-10,-3.1479667644722253
2007-03-11,-2.94542320114778
2007-03-12,-3.1671148720284132
2007-03-13,-3.8130417810710444
2007-03-14,-4.883203928367977
2007-03-15,-6.377601309033514
2007-03-16,-8.296233931335944
2007-03-17,-10.639101784052299
2007-03-18,-13.406204880928014
2007-03-19,-14.327139826062748
2007-03-20,-13.401906620341277
2007-03-21,-10.630505274021205
2007-03-22,-6.01293577414209
2007-03-23,0.450801877729071
2007-03-24,8.760707680438472
2007-03-25,18.91678163036678
2007-03-26,26.238699325944296
2007-03-27,30.72646076982504
2007-03-28,32.38006596684245
2007-03-29,31.199514906719646
2007-03-30,27.184807603253198
2007-03-31,20.33594404259917
2007-04-01,10.652924229727642
2007-04-02,2.7757216482207476
2007-04-03,-3.2956636998040354
2007-04-04,-7.561231822765933
2007-04-05,-10.020982722384895
2007-04-06,-10.674916387948638
2007-04-07,-9.52303282763462
2007-04-08,-6.5653320438083504
2007-04-09,-4.077913858706326
2007-04-10,-2.0607782793229177
2007-04-11,-0.5139253055023407
2007-04-12,0.5626450692270866
2007-04-13,1.1689328352528348
2007-04-14,1.3049380007156905
2007-04-15,0.970660564438969
2007-04-16,0.7554101423194712
2007-04-17,0.6591867278276986
2007-04-18,0.6819903296935044
2007-04-19,0.8238209443143649
2007-04-20,1.0846785682674946
2007-04-21,1.4645632120495184
2007-04-22,1.9634748615563522
2007-04-23,2.4266111968210407
2007-04-24,2.853972199926737
2007-04-25,3.2455578908301312
2007-04-26,3.601368261120779
2007-04-27,3.921403301689664
2007-04-28,4.205663022863413
2007-04-29,4.454147426070224
2007-04-30,4.716106520100014
2007-05-01,4.991540310051764
2007-05-02,5.2524462540514625
2007-05-03,5.498824351765372
2007-05-04,5.730674616920194
2007-05-05,5.947997029896959
2007-05-06,6.150791605647283
2007-05-07,6.29070436628206
2007-05-08,6.367735298583711
2007-05-09,6.381884416847662
2007-05-10,6.333151724201819
2007-05-11,6.221537206953335
2007-05-12,6.047040873536925
2007-05-13,5.809662722232291
2007-05-14,5.659612882716068
2007-05-15,5.596891365341284
2007-05-16,5.621498160092654
2007-05-17,5.733433277732743
2007-05-18,5.932696698554823
2007-05-19,6.219288442168693
2007-05-20,6.5932085026055915
2007-05-21,6.4831940592748225
2007-05-22,5.889245086225227
2007-05-23,4.811361611033353
2007-05-24,3.2495436266554147
2007-05-25,1.2037911288405843
2007-05-26,-1.3258958808889787
2007-05-27,-4.339517406725755
2007-05-28,-5.630824413149078
2007-05-29,-5.199816898683313
2007-05-30,-3.0464948686461835
2007-05-31,0.8291416786898411
2007-06-01,6.4270927486287075
2007-06-02,13.81317498130872
2007-06-03,22.987388399885553
2007-06-04,29.41483985580637
2007-06-05,33.0955293519957
2007-06-06,34.02945688735309
2007-06-07,32.21662247174787
2007-06-08,27.657026103379902
2007-06-09,20.350667775342917
2007-06-10,10.297547484770961
2007-06-11,2.0139864566123493
2007-06-12,-4.500015290877565
2007-06-13,-9.244457795741011
2007-06-14,-12.21934103117437
2007-06-15,-13.424665000613315
2007-06-16,-12.860429710115781
2007-06-17,-10.526635159077554
2007-06-18,-8.53434935220515
2007-06-19,-6.883572287516357
2007-06-20,-5.574303966212549
2007-06-21,-4.60654438608397
2007-06-22,-3.9802935563266786
2007-06-23,-3.6955514625275043
2007-06-24,-3.752318120071051
2007-06-25,-3.9533805065367464
2007-06-26,-4.298738630832298
