id,time,value
trend,2007-01-01,-1.8014242851337334
trend,2007-01-02,-1.790709825257319
trend,2007-01-03,-1.7799953653809049
trend,2007-01-04,-1.7692809055044902
trend,2007-01-05,-1.7585664456280758
trend,2007-01-06,-1.7478519857516615
trend,2007-01-07,-1.737137525875247
trend,2007-01-08,-1.7264230659988327
trend,2007-01-09,-1.7157086061224183
trend,2007-01-10,-1.7049941462460039
trend,2007-01-11,-1.6942796863695895
trend,2007-01-12,-1.683565226493175
trend,2007-01-13,-1.6728507666167607
trend,2007-01-14,-1.6621363067403463
trend,2007-01-15,-1.651421846863932
trend,2007-01-16,-1.6407073869875175
trend,2007-01-17,-1.629992927111103
trend,2007-01-18,-1.6192784672346885
trend,2007-01-19,-1.6085640073582743
trend,2007-01-20,-1.59784954748186
trend,2007-01-21,-1.5871350876054453
trend,2007-01-22,-1.5764206277290311
trend,2007-01-23,-1.5657061678526167
trend,2007-01-24,-1.5549917079762023
trend,2007-01-25,-1.5442772480997877
trend,2007-01-26,-1.5335627882233736
trend,2007-01-27,-1.5228483283469592
trend,2007-01-28,-1.5121338684705445
trend,2007-01-29,-1.5014194085941304
trend,2007-01-30,-1.490704948717716
trend,2007-01-31,-1.4799904888413016
trend,2007-02-01,-1.469276028964887
trend,2007-02-02,-1.4585615690884728
trend,2007-02-03,-1.4478471092120584
trend,2007-02-04,-1.4371326493356438
trend,2007-02-05,-1.4264181894592294
trend,2007-02-06,-1.4157037295828152
trend,2007-02-07,-1.4049892697064008
trend,2007-02-08,-1.3942748098299862
trend,2007-02-09,-1.3835603499535718
trend,2007-02-10,-1.3728458900771576
trend,2007-02-11,-1.362131430200743
trend,2007-02-12,-1.3514169703243286
trend,2007-02-13,-1.3407025104479144
trend,2007-02-14,-1.3299880505715
trend,2007-02-15,-1.3192735906950854
trend,2007-02-16,-1.308559130818671
trend,2007-02-17,-1.2978446709422566
trend,2007-02-18,-1.2871302110658422
trend,2007-02-19,-1.276415751189428
trend,2007-02-20,-1.2657012913130137
trend,2007-02-21,-1.2549868314365993
trend,2007-02-22,-1.2442723715601847
trend,2007-02-23,-1.2335579116837703
