time,value
2007-01-01,-0.8253025076571129
2007-01-02,-0.3001428567187879
2007-01-03,-0.2750411053365666
2007-01-04,-0.26947065455867264
2007-01-05,1.1737051486508798
2007-01-06,-0.5598764577980027
2007-01-07,-0.5709076968897541
2007-01-08,-0.22679442706575456
2007-01-09,-0.29677739464107633
2007-01-10,2.2956271655034635
2007-01-11,-0.47211703660229865
2007-01-12,-0.6840457044494831
2007-01-13,-1.0138817446535675
2007-01-14,-1.3449017054093924
2007-01-15,-1.149928121260043
2007-01-16,-1.2926582387778667
2007-01-17,-1.3496123009312642
2007-01-18,-1.3845835195780707
2007-01-19,-1.4404145015752905
2007-01-20,-1.5378851441343875
2007-01-21,-1.560227897375589
2007-01-22,-1.1201811500040888
2007-01-23,-1.0813369370940378
2007-01-24,-1.0200813999198788
2007-01-25,-1.0000466963222057
2007-01-26,-1.0638899556721404
2007-01-27,-1.2321842534865561
2007-01-28,-0.6280436249231228
2007-01-29,-1.0468706850644591
2007-01-30,-1.072328245087796
2007-01-31,-1.040443757202437
2007-02-01,-1.0145969057861781
2007-02-02,-1.0405853697488006
2007-02-03,-1.1387444604573387
2007-02-04,-1.1918587862845211
2007-02-05,-0.7906651126160262
2007-02-06,-0.7983266579252419
2007-02-07,-0.7908228958947449
2007-02-08,-0.8314095053316837
2007-02-09,-0.9624048563144062
2007-02-10,-1.2040878426942998
2007-02-11,0.17821735971014685
2007-02-12,-1.1663003974349542
2007-02-13,-0.536829442648879
2007-02-14,-1.2619999401017055
2007-02-15,-1.2700676874007322
2007-02-16,-1.3152122629514793
2007-02-17,0.5386859169783047
2007-02-18,-1.461086943550647
2007-02-19,-1.0456526420172856
2007-02-20,-1.0350520130630736
2007-02-21,-1.0056081315563485
2007-02-22,-0.44104125618100437
2007-02-23,-1.1238425363236006
2007-02-24,-1.3349738240941162
2007-02-25,-1.5375734772851384
2007-02-26,-1.228558886782572
2007-02-27,-1.0016420243297246
2007-02-28,-1.243223665583423
2007-03-01,-1.2072200779760611
2007-03-02,-0.698832074589215
2007-03-03,-1.250668630185291
2007-03-04,-1.2342277285794592
2007-03-05,-0.7760928651597238
2007-03-06,-0.7399355270169258
2007-03-07,-0.7022323550748458
2007-03-08,-0.7267159859968874
2007-03-09,-0.8561529155663854
2007-03-10,0.725343793343778
2007-03-11,-1.3750890146787151
2007-03-12,-1.139057910421484
2007-03-13,-1.2666181310836635
2007-03-14,-1.1060722521395767
2007-03-15,-1.4048436809336327
2007-03-16,-1.5215778951637509
2007-03-17,-1.704718622460075
2007-03-18,-1.3139293145981719
2007-03-19,-1.4625753100979284
2007-03-20,-1.4441723985283346
2007-03-21,-1.3580888797657555
2007-03-22,-1.2677032599787468
2007-03-23,-1.2154498223702772
2007-03-24,-0.10863827181790099
2007-03-25,-1.1693628431131573
2007-03-26,-0.6828380386128269
2007-03-27,-0.6254343454397446
2007-03-28,-0.5732848691316532
2007-03-29,-0.5898198320501576
2007-03-30,-0.7175499403676506
2007-03-31,-0.976960560122167
2007-04-01,-1.2510324764158793
2007-04-02,-1.0317834841519635
2007-04-03,-0.6712953826309737
2007-04-04,-1.2799262169863654
2007-04-05,-1.3871924225183017
2007-04-06,-1.5471193485086785
2007-04-07,-1.7803458335136253
2007-04-08,-1.9699982839998986
2007-04-09,-2.0725530239031125
2007-04-10,-1.6216355822009159
2007-04-11,-1.5235680914424872
2007-04-12,-1.0330469557306827
2007-04-13,-0.6755916251288825
2007-04-14,-1.217490150875769
2007-04-15,-0.35685265486460643
2007-04-16,-0.5069374091045715
2007-04-17,-0.4069861171314569
2007-04-18,-0.3414333655979467
2007-04-19,-0.3738799201651107
2007-04-20,-0.5469683581774554
2007-04-21,-0.14387770149611034
2007-04-22,-1.259827549098688
2007-04-23,-1.1093512411892164
2007-04-24,-1.013286331547444
2007-04-25,-1.3877242265978804
2007-04-26,-1.456254538237567
2007-04-27,-1.5413569654293255
2007-04-28,-1.6634916344563364
2007-04-29,-1.1316518165593026
2007-04-30,-0.4106310189506933
2007-05-01,-1.5007987798748148
2007-05-02,-1.1403260021656425
2007-05-03,-0.45096338419312276
2007-05-04,-1.0921297673542831
2007-05-05,-1.1912161857089163
2007-05-06,-0.8155845217432902
2007-05-07,-0.6482645662125356
2007-05-08,0.08756139078364882
2007-05-09,-0.7852545942498829
2007-05-10,-0.7581937808526458
2007-05-11,-0.8008219187597937
2007-05-12,-0.9337097242479565
2007-05-13,-0.2978001151570449
2007-05-14,-0.6638618234639672
2007-05-15,-0.6690461869067781
2007-05-16,-0.6318189188355476
2007-05-17,-0.8674481253245202
2007-05-18,-0.25382048427716825
2007-05-19,-0.7963225874747129
2007-05-20,-0.8966535275788354
2007-05-21,-0.3270613887681164
2007-05-22,-0.5750325813226723
2007-05-23,0.048705650938888984
2007-05-24,-0.652768890443747
2007-05-25,-0.15100273189286575
2007-05-26,-1.046161729099352
2007-05-27,-0.5157660918008596
2007-05-28,-1.2493850133752156
2007-05-29,-1.0435817712406743
2007-05-30,-1.0058841722393925
2007-05-31,-0.9454729616389907
2007-06-01,-0.9050061039921579
2007-06-02,-0.9052825186214853
2007-06-03,-0.8293585717625529
2007-06-04,-0.3189649366904685
2007-06-05,-0.23754394934559747
2007-06-06,-0.16135154287447045
2007-06-07,-0.23940256364090987
2007-06-08,-0.2578048695312376
2007-06-09,-0.4935494277013052
2007-06-10,-0.7441349486884965
2007-06-11,-0.5020226532134558
2007-06-12,-0.6306039235729652
2007-06-13,-0.51339272372887
2007-06-14,-0.7919831960039847
2007-06-15,-0.6125395144024464
