id,time,value
trend,2007-01-01,18.926437927231383
trend,2007-01-02,18.944068973197624
trend,2007-01-03,18.961700019163864
trend,2007-01-04,18.9793310651301
trend,2007-01-05,18.99696211109634
trend,2007-01-06,19.01459315706258
trend,2007-01-07,19.032224203028818
trend,2007-01-08,19.04985524899506
trend,2007-01-09,19.0674862949613
trend,2007-01-10,19.085117340927535
trend,2007-01-11,19.102748386893776
trend,2007-01-12,19.120379432860016
trend,2007-01-13,19.138010478826253
trend,2007-01-14,19.155641524792493
trend,2007-01-15,19.173272570758733
trend,2007-01-16,19.190903616724974
trend,2007-01-17,19.20853466269121
trend,2007-01-18,19.22616570865745
trend,2007-01-19,19.24379675462369
trend,2007-01-20,19.261427800589928
trend,2007-01-21,19.27905884655617
trend,2007-01-22,19.29668989252241
trend,2007-01-23,19.314320938488645
trend,2007-01-24,19.331951984454886
trend,2007-01-25,19.349583030421126
trend,2007-01-26,19.367214076387363
trend,2007-01-27,19.384845122353603
trend,2007-01-28,19.402476168319843
trend,2007-01-29,19.42010721428608
trend,2007-01-30,19.43773826025232
trend,2007-01-31,19.455369306218557
trend,2007-02-01,19.473000352184798
trend,2007-02-02,19.490631398151038
trend,2007-02-03,19.508262444117275
trend,2007-02-04,19.525893490083515
trend,2007-02-05,19.543524536049755
trend,2007-02-06,19.561155582015992
trend,2007-02-07,19.578786627982232
trend,2007-02-08,19.596417673948473
trend,2007-02-09,19.61404871991471
trend,2007-02-10,19.63167976588095
trend,2007-02-11,19.64931081184719
trend,2007-02-12,19.666941857813427
trend,2007-02-13,19.684572903779667
trend,2007-02-14,19.702203949745908
trend,2007-02-15,19.719834995712144
trend,2007-02-16,19.737466041678385
trend,2007-02-17,19.75509708764462
trend,2007-02-18,19.772728133610862
trend,2007-02-19,19.790359179577102
trend,2007-02-20,19.80799022554334
trend,2007-02-21,19.82562127150958
trend,2007-02-22,19.84325231747582
trend,2007-02-23,19.860883363442056
trend,2007-02-24,19.878514409408297
trend,2007-02-25,19.896145455374537
trend,2007-02-26,19.913776501340774
trend,2007-02-27,19.931407547307014
trend,2007-02-28,19.949038593273254
trend,2007-03-01,19.96666963923949
trend,2007-03-02,19.98430068520573
trend,2007-03-03,20.00193173117197
trend,2007-03-04,20.01956277713821
trend,2007-03-05,20.03719382310445
trend,2007-03-06,20.054824869070686
trend,2007-03-07,20.072455915036926
trend,2007-03-08,20.090086961003166
trend,2007-03-09,20.107718006969403
trend,2007-03-10,20.125349052935643
trend,2007-03-11,20.142980098901884
trend,2007-03-12,20.16061114486812
trend,2007-03-13,20.17824219083436
trend,2007-03-14,20.1958732368006
trend,2007-03-15,20.213504282766838
trend,2007-03-16,20.231135328733078
trend,2007-03-17,20.24876637469932
trend,2007-03-18,20.266397420665555
trend,2007-03-19,20.284028466631796
trend,2007-03-20,20.301659512598036
trend,2007-03-21,20.319290558564273
trend,2007-03-22,20.336921604530513
trend,2007-03-23,20.35455265049675
trend,2007-03-24,20.37218369646299
trend,2007-03-25,20.38981474242923
trend,2007-03-26,20.40744578839547
trend,2007-03-27,20.425076834361708
trend,2007-03-28,20.442707880327948
trend,2007-03-29,20.460338926294188
