time,value,n
2006-01-01,18.066115702479344,121
2006-02-01,19.446280991735538,242
2006-03-01,14.223140495867769,242
2006-04-01,23.23553719008263,242
2006-05-01,12.53305785123966,242
2006-06-01,16.508264462809915,242
2006-07-01,13.87603305785124,242
2006-08-01,17.095041322314056,242
2006-09-01,15.710743801652894,242
2006-10-01,12.743801652892552,242
2006-11-01,15.995867768595046,242
2006-12-01,13.09917355371901,242
2007-01-01,16.95546558704454,247
2007-02-01,12.464285714285717,252
2007-03-01,16.41106719367587,253
2007-04-01,14.165354330708658,254
2007-05-01,10.12941176470588,255
2007-06-01,17.42968749999999,256
2007-07-01,9.303501945525287,257
2007-08-01,16.84108527131783,258
2007-09-01,12.683397683397683,259
2007-10-01,11.115384615384617,260
2007-11-01,13.70114942528735,261
2007-12-01,10.786259541984728,262
2008-01-01,12.786259541984723,262
2008-02-01,12.977099236641225,262
2008-03-01,7.18702290076336,262
2008-04-01,13.847328244274804,262
2008-05-01,12.763358778625951,262
2008-06-01,9.931297709923669,262
2008-07-01,5.812977099236641,262
2008-08-01,9.500000000000002,262
2008-09-01,13.927480916030532,262
2008-10-01,11.14503816793893,262
2008-11-01,14.57251908396947,262
2008-12-01,14.980916030534354,262
2009-01-01,15.416030534351147,262
2009-02-01,16.72519083969466,262
2009-03-01,17.015267175572514,262
2009-04-01,15.202290076335867,262
2009-05-01,11.748091603053421,262
2009-06-01,13.908396946564872,262
2009-07-01,16.58778625954199,262
2009-08-01,12.412213740458016,262
2009-09-01,16.332061068702288,262
2009-10-01,14.416030534351137,262
2009-11-01,15.030534351145034,262
2009-12-01,11.858778625954198,262
2010-01-01,16.366412213740468,262
2010-02-01,13.694656488549612,262
2010-03-01,12.41984732824428,262
2010-04-01,14.309160305343514,262
2010-05-01,11.202290076335874,262
2010-06-01,13.99618320610687,262
2010-07-01,12.603053435114507,262
2010-08-01,10.187022900763358,262
2010-09-01,14.393129770992369,262
2010-10-01,13.816793893129761,262
2010-11-01,16.217557251908396,262
2010-12-01,12.316793893129775,262
2011-01-01,13.297709923664113,262
2011-02-01,15.454198473282435,262
2011-03-01,12.083969465648854,262
