time,value,n
2006-01-01,52.85925925925926,135
2006-02-01,54.43703703703703,270
2006-03-01,56.5111111111111,270
2006-04-01,56.144444444444446,270
2006-05-01,75.5148148148148,270
2006-06-01,72.20740740740743,270
2006-07-01,71.18148148148151,270
2006-08-01,88.5555555555556,270
2006-09-01,48.5962962962963,270
2006-10-01,53.51481481481481,270
2006-11-01,63.07777777777775,270
2006-12-01,64.38148148148152,270
2007-01-01,40.201438848920866,278
2007-02-01,44.961538461538446,286
2007-03-01,47.581881533101054,287
2007-04-01,46.524305555555536,288
2007-05-01,82.42214532871972,289
2007-06-01,76.71724137931032,290
2007-07-01,63.48109965635739,291
2007-08-01,41.18493150684931,292
2007-09-01,43.75426621160412,293
2007-10-01,47.8265306122449,294
2007-11-01,54.53220338983053,295
2007-12-01,59.02027027027026,296
2008-01-01,40.70945945945946,296
2008-02-01,38.42567567567566,296
2008-03-01,40.77027027027029,296
2008-04-01,46.69932432432434,296
2008-05-01,49.347972972972975,296
2008-06-01,78.8716216216216,296
2008-07-01,52.57094594594597,296
2008-08-01,44.68581081081083,296
2008-09-01,58.55405405405403,296
2008-10-01,57.46621621621622,296
2008-11-01,56.11824324324324,296
2008-12-01,65.88175675675674,296
2009-01-01,46.807432432432485,296
2009-02-01,47.4831081081081,296
2009-03-01,58.314189189189186,296
2009-04-01,42.81081081081081,296
2009-05-01,69.27702702702702,296
2009-06-01,63.38175675675678,296
2009-07-01,61.631756756756744,296
2009-08-01,56.95945945945946,296
2009-09-01,55.101351351351354,296
2009-10-01,65.24324324324321,296
2009-11-01,63.88851351351352,296
2009-12-01,65.31081081081086,296
2010-01-01,43.20270270270268,296
2010-02-01,43.922297297297284,296
2010-03-01,46.804054054054035,296
2010-04-01,49.33445945945945,296
2010-05-01,87.21621621621624,296
2010-06-01,60.814189189189186,296
2010-07-01,58.560810810810814,296
2010-08-01,82.81081081081084,296
2010-09-01,58.86486486486486,296
2010-10-01,47.01351351351352,296
2010-11-01,51.60472972972971,296
2010-12-01,46.662162162162176,296
2011-01-01,38.385135135135144,296
2011-02-01,39.293918918918926,296
2011-03-01,40.27364864864867,296
2011-04-01,40.168918918918905,296
2011-05-01,45.868243243243256,296
2011-06-01,66.46959459459455,296
2011-07-01,54.47635135135136,296
2011-08-01,44.537162162162154,296
2011-09-01,41.016891891891916,296
2011-10-01,49.851351351351354,296
2011-11-01,56.37837837837838,296
2011-12-01,55.29054054054056,296
2012-01-01,35.5101351351351,296
2012-02-01,36.04054054054056,296
2012-03-01,43.277027027027025,296
2012-04-01,41.49324324324324,296
2012-05-01,46.03716216216215,296
2012-06-01,61.277027027027025,296
2012-07-01,60.87162162162162,296
2012-08-01,51.69932432432432,296
2012-09-01,44.74324324324325,296
2012-10-01,48.094594594594604,296
2012-11-01,67.01689189189199,296
2012-12-01,54.4087837837838,296
2013-01-01,36.65878378378377,296
