id,time,value
trend,2007-01-01,20.492386964956726
trend,2007-01-02,20.493445948904878
trend,2007-01-03,20.494504932853026
trend,2007-01-04,20.495563916801178
trend,2007-01-05,20.49662290074933
trend,2007-01-06,20.497681884697478
trend,2007-01-07,20.498740868645626
trend,2007-01-08,20.499799852593778
trend,2007-01-09,20.50085883654193
trend,2007-01-10,20.501917820490082
trend,2007-01-11,20.50297680443823
trend,2007-01-12,20.504035788386382
trend,2007-01-13,20.505094772334534
trend,2007-01-14,20.506153756282686
trend,2007-01-15,20.50721274023083
trend,2007-01-16,20.508271724178982
trend,2007-01-17,20.509330708127134
trend,2007-01-18,20.510389692075286
trend,2007-01-19,20.511448676023434
trend,2007-01-20,20.512507659971586
trend,2007-01-21,20.513566643919738
trend,2007-01-22,20.51462562786789
trend,2007-01-23,20.51568461181604
trend,2007-01-24,20.516743595764186
trend,2007-01-25,20.51780257971234
trend,2007-01-26,20.51886156366049
trend,2007-01-27,20.519920547608642
trend,2007-01-28,20.52097953155679
trend,2007-01-29,20.522038515504942
trend,2007-01-30,20.523097499453094
trend,2007-01-31,20.524156483401246
trend,2007-02-01,20.52521546734939
trend,2007-02-02,20.526274451297542
trend,2007-02-03,20.527333435245694
trend,2007-02-04,20.528392419193846
trend,2007-02-05,20.529451403141994
trend,2007-02-06,20.530510387090146
trend,2007-02-07,20.531569371038298
trend,2007-02-08,20.53262835498645
trend,2007-02-09,20.533687338934598
trend,2007-02-10,20.534746322882746
trend,2007-02-11,20.5358053068309
trend,2007-02-12,20.53686429077905
trend,2007-02-13,20.5379232747272
trend,2007-02-14,20.53898225867535
trend,2007-02-15,20.540041242623502
trend,2007-02-16,20.541100226571654
trend,2007-02-17,20.542159210519802
trend,2007-02-18,20.543218194467954
trend,2007-02-19,20.544277178416102
trend,2007-02-20,20.545336162364254
trend,2007-02-21,20.546395146312403
trend,2007-02-22,20.547454130260554
trend,2007-02-23,20.548513114208706
trend,2007-02-24,20.549572098156858
trend,2007-02-25,20.550631082105006
trend,2007-02-26,20.55169006605316
trend,2007-02-27,20.55274905000131
trend,2007-02-28,20.55380803394946
trend,2007-03-01,20.554867017897607
trend,2007-03-02,20.55592600184576
trend,2007-03-03,20.55698498579391
trend,2007-03-04,20.558043969742062
trend,2007-03-05,20.55910295369021
trend,2007-03-06,20.560161937638362
trend,2007-03-07,20.561220921586514
trend,2007-03-08,20.562279905534666
trend,2007-03-09,20.56333888948281
trend,2007-03-10,20.564397873430963
trend,2007-03-11,20.565456857379115
trend,2007-03-12,20.566515841327266
trend,2007-03-13,20.567574825275415
trend,2007-03-14,20.568633809223567
trend,2007-03-15,20.56969279317172
trend,2007-03-16,20.57075177711987
trend,2007-03-17,20.571810761068022
trend,2007-03-18,20.572869745016167
trend,2007-03-19,20.57392872896432
trend,2007-03-20,20.57498771291247
trend,2007-03-21,20.57604669686062
trend,2007-03-22,20.57710568080877
