time,value
2007-01-01,0.0026529920537209373
2007-01-02,0.002711823524581436
2007-01-03,0.002750313593213649
2007-01-04,0.0027684618358169155
2007-01-05,0.0027662653188040842
2007-01-06,0.002743729460763733
2007-01-07,0.0027008491992873696
2007-01-08,0.002625113147138758
2007-01-09,0.0025165208986752674
2007-01-10,0.0023750711943769653
2007-01-11,0.002200765829227902
2007-01-12,0.0019936039419600204
2007-01-13,0.0017535835741322447
2007-01-14,0.001480707166268247
2007-01-15,0.001190725289715977
2007-01-16,8.836362614308424e-4
2007-01-17,5.59441937186933e-4
2007-01-18,2.1813907191636783e-4
2007-01-19,-1.402693831445978e-4
2007-01-20,-5.157825219068712e-4
2007-01-21,-9.084036720490296e-4
2007-01-22,-0.0013222043693654761
2007-01-23,-0.0017571860996150601
2007-01-24,-0.002213347417010736
2007-01-25,-0.002690688270336028
2007-01-26,-0.0031892095692667155
2007-01-27,-0.003708912779655793
2007-01-28,-0.004249794441505972
2007-01-29,-0.004810802339914155
2007-01-30,-0.005391938043345923
2007-01-31,-0.005993199165358565
2007-02-01,-0.006614585855026056
2007-02-02,-0.007120828193784345
2007-02-03,-0.007511925909531203
2007-02-04,-0.007787879631401262
2007-02-05,-0.007948962685529803
2007-02-06,-0.007995173279961576
2007-02-07,-0.007926513078566066
2007-02-08,-0.007742981337998445
2007-02-09,-0.007444579334282997
2007-02-10,-0.007031304212433698
2007-02-11,-0.00650316003509166
2007-02-12,-0.0058600704407894
2007-02-13,-0.005102035217440237
2007-02-14,-0.00422905622175529
2007-02-15,-0.003241134034032256
2007-02-16,-0.002138265734238143
2007-02-17,-9.20453740084981e-4
2007-02-18,4.1230455042939873e-4
2007-02-19,0.0018599765276597902
2007-02-20,0.003422565623472318
2007-02-21,0.005100069485503456
2007-02-22,0.006892490369988069
2007-02-23,0.008799825360221059
2007-02-24,0.010822077643027228
2007-02-25,0.012959245484074566
2007-02-26,0.015211375120761428
2007-02-27,0.017578464398338767
2007-02-28,0.020060515262344647
2007-03-01,0.02265752609980698
2007-03-02,0.024869498101736998
2007-03-03,0.026696431913822205
2007-03-04,0.028138327381183714
2007-03-05,0.029195025425506338
2007-03-06,0.029866528593978203
2007-03-07,0.030152835052884686
2007-03-08,0.030053946008723242
2007-03-09,0.029569861996117552
2007-03-10,0.028700580407205578
2007-03-11,0.027446104476006816
2007-03-12,0.02580703663708306
2007-03-13,0.02378337538376918
2007-03-14,0.021375119876598014
2007-03-15,0.018582273452289466
2007-03-16,0.0154048323767636
2007-03-17,0.01184280009245997
2007-03-18,0.007896174277293277
2007-03-19,0.003562624976964024
2007-03-20,-0.0011578484872402095
2007-03-21,-0.006265245339444836
2007-03-22,-0.011759566318537362
2007-03-23,-0.017640810548210095
2007-03-24,-0.02390897869862396
2007-03-25,-0.03056407104601022
2007-03-26,-0.03759707330089512
2007-03-27,-0.04500798778058257
2007-03-28,-0.052796813323779945
2007-03-29,-0.06096355056054081
2007-03-30,-0.06950819790207552
2007-03-31,-0.07843075837012403
2007-04-01,-0.08773122818804413
2007-04-02,-0.09558002409828059
2007-04-03,-0.10197714734153329
2007-04-04,-0.10692259560561812
2007-04-05,-0.11041637074909516
2007-04-06,-0.1124584716011574
2007-04-07,-0.11304889792213657
2007-04-08,-0.1121876503776944
2007-04-09,-0.10974000139980444
2007-04-10,-0.10570595090300028
2007-04-11,-0.10008549872961225
2007-04-12,-0.09287864585127847
2007-04-13,-0.0840853897131465
2007-04-14,-0.07370573339784192
2007-04-15,-0.06173967460762109
2007-04-16,-0.04870812053305695
2007-04-17,-0.03461106835364869
2007-04-18,-0.019448522313116667
2007-04-19,-0.0032204791289912604
2007-04-20,0.014073059331424442
2007-04-21,0.032432094938986356
2007-04-22,0.05185662488688603
2007-04-23,0.07436065959654936
2007-04-24,0.09994419787443065
2007-04-25,0.1286072401824797
2007-04-26,0.16034978566373492
2007-04-27,0.19517183661310455
2007-04-28,0.2330733906250777
2007-04-29,0.27405444846025195
2007-04-30,0.310328134806785
2007-05-01,0.3418944463065432
2007-05-02,0.36214660497964923
2007-05-03,0.37108460532691967
2007-05-04,0.36870845190563584
2007-05-05,0.3550181412944824
2007-05-06,0.3300136762918777
2007-05-07,0.323801911080865
2007-05-08,0.33638284911823746
2007-05-09,0.36775648754972234
2007-05-10,0.41792282716424134
2007-05-11,0.48688186893503727
2007-05-12,0.5746336111075223
2007-05-13,0.68117805525039965
2007-05-14,0.6901112927314847
2007-05-15,0.6014333206868183
2007-05-16,0.415144141084404
2007-05-17,0.13124375339510697
2007-05-18,-0.25026784088728093
2007-05-19,-0.7293906461194224
2007-05-20,-1.3061246565926712
2007-05-21,-1.7411087886413492
2007-05-22,-2.0343430405288605
2007-05-23,9.613270772448256
2007-05-24,-2.1955619076821016
2007-05-25,-2.0635465228065426
2007-05-26,-1.7897812580035235
2007-05-27,-1.3742661140498584
2007-05-28,-1.055867120462937
2007-05-29,-0.8345842785977007
2007-05-30,-0.7104175891699464
2007-05-31,-0.6833670507425588
2007-06-01,-0.7534326633309318
2007-06-02,-0.9071675347330477
2007-06-03,-1.144571667068225
2007-06-04,-1.3517783150054146
2007-06-05,-1.5287874791776797
2007-06-06,-1.675599158282861
2007-06-07,-1.7922133534242175
2007-06-08,-1.8786300640448088
2007-06-09,-1.9348492915089928
2007-06-10,-1.9608710346935552
2007-06-11,-1.9768313989785864
2007-06-12,-1.982730387656346
2007-06-13,-1.9785679955659088
2007-06-14,-1.9643442265386668
2007-06-15,-1.9400590792161843
2007-06-16,-1.9057125534427266
