time,value,n
2006-01-01,13.4559585492228,193
2006-02-01,14.046632124352323,386
2006-03-01,14.160621761658028,386
2006-04-01,15.660621761658033,386
2006-05-01,16.30569948186528,386
2006-06-01,12.940414507772022,386
2006-07-01,14.313471502590676,386
2006-08-01,15.186528497409324,386
2006-09-01,15.329015544041463,386
2006-10-01,18.215025906735764,386
2006-11-01,16.256476683937844,386
2006-12-01,17.354922279792756,386
2007-01-01,12.686075949367089,395
2007-02-01,15.896039603960396,404
2007-03-01,21.81481481481482,405
2007-04-01,15.88423645320196,406
2007-05-01,14.223587223587241,407
2007-06-01,14.406862745098053,408
2007-07-01,11.723716381418104,409
2007-08-01,16.04878048780487,410
2007-09-01,22.22384428223842,411
2007-10-01,23.313106796116504,412
2007-11-01,19.62711864406781,413
2007-12-01,17.446859903381633,414
2008-01-01,15.983091787439621,414
2008-02-01,22.801932367149753,414
2008-03-01,21.66425120772945,414
2008-04-01,20.905797101449263,414
2008-05-01,17.118357487922694,414
2008-06-01,19.92270531400966,414
2008-07-01,16.29951690821257,414
2008-08-01,16.90821256038647,414
2008-09-01,22.852657004830924,414
2008-10-01,24.000000000000007,414
2008-11-01,22.369565217391308,414
2008-12-01,25.521739130434778,414
2009-01-01,17.420289855072483,414
2009-02-01,21.176328502415455,414
2009-03-01,28.480676328502412,414
2009-04-01,21.88888888888889,414
2009-05-01,23.700483091787422,414
2009-06-01,19.688405797101467,414
2009-07-01,15.545893719806763,414
2009-08-01,22.801932367149742,414
2009-09-01,27.514492753623202,414
2009-10-01,30.002415458937193,414
2009-11-01,27.91787439613527,414
2009-12-01,27.886473429951707,414
2010-01-01,24.26570048309179,414
2010-02-01,24.294685990338145,414
2010-03-01,29.258454106280183,414
2010-04-01,28.51449275362317,414
2010-05-01,28.97826086956522,414
2010-06-01,27.758454106280215,414
2010-07-01,21.533816425120758,414
2010-08-01,27.28743961352655,414
2010-09-01,45.66666666666664,414
2010-10-01,40.49516908212561,414
2010-11-01,40.21256038647344,414
2010-12-01,45.60869565217393,414
2011-01-01,34.77777777777777,414
2011-02-01,36.36231884057969,414
2011-03-01,42.44444444444444,414
2011-04-01,42.342995169082116,414
2011-05-01,40.67632850241545,414
2011-06-01,41.29951690821256,414
2011-07-01,37.231884057971044,414
2011-08-01,41.42028985507248,414
2011-09-01,49.48792270531401,414
2011-10-01,51.57246376811593,414
2011-11-01,46.93961352657008,414
2011-12-01,54.70048309178742,414
2012-01-01,47.21980676328501,414
2012-02-01,45.8695652173913,414
2012-03-01,58.258454106280176,414
2012-04-01,49.231884057970994,414
2012-05-01,46.478260869565254,414
2012-06-01,49.461352657004824,414
2012-07-01,43.62801932367149,414
2012-08-01,51.326086956521756,414
2012-09-01,60.835748792270515,414
2012-10-01,62.45169082125606,414
2012-11-01,58.23429951690822,414
2012-12-01,60.026570048309196,414
2013-01-01,50.47584541062799,414
2013-02-01,46.77777777777778,414
2013-03-01,49.253623188405825,414
2013-04-01,48.891304347826086,414
2013-05-01,50.98309178743961,414
2013-06-01,45.89855072463767,414
2013-07-01,41.97584541062805,414
2013-08-01,43.73671497584541,414
2013-09-01,56.760869565217384,414
2013-10-01,59.57487922705313,414
2013-11-01,58.362318840579704,414
2013-12-01,58.42270531400967,414
2014-01-01,51.08695652173915,414
2014-02-01,51.705314009661855,414
2014-03-01,58.30434782608695,414
2014-04-01,53.60386473429953,414
2014-05-01,50.98550724637679,414
2014-06-01,54.00241545893721,414
2014-07-01,46.84541062801935,414
2014-08-01,56.05072463768115,414
2014-09-01,65.47101449275361,414
2014-10-01,64.09178743961347,414
2014-11-01,63.82367149758458,414
2014-12-01,67.29227053140097,414
2015-01-01,52.80193236714977,414
2015-02-01,50.838164251207736,414
2015-03-01,60.371980676328505,414
2015-04-01,59.08695652173913,414
2015-05-01,55.794685990338174,414
2015-06-01,59.96376811594203,414
2015-07-01,49.04106280193237,414
2015-08-01,51.10144927536233,414
2015-09-01,73.22946859903377,414
2015-10-01,73.30434782608695,414
2015-11-01,76,414
2015-12-01,81.7536231884058,414
2016-01-01,66.1714975845411,414
2016-02-01,61.5386473429952,414
2016-03-01,64.78985507246381,414
2016-04-01,63.913043478260924,414
2016-05-01,64.87439613526566,414
2016-06-01,73.87922705314008,414
2016-07-01,58.29468599033818,414
2016-08-01,57.55797101449275,414
2016-09-01,76.30193236714977,414
2016-10-01,90.43719806763296,414
2016-11-01,84.63768115942024,414
2016-12-01,88.43478260869566,414
2017-01-01,69.88647342995168,414
2017-02-01,68.50483091787449,414
2017-03-01,76.9782608695652,414
2017-04-01,76.31159420289852,414
2017-05-01,75.22705314009661,414
2017-06-01,78.31642512077296,414
2017-07-01,64.60144927536219,414
2017-08-01,63.26811594202895,414
2017-09-01,91.79468599033815,414
2017-10-01,86.73188405797097,414
2017-11-01,97.29951690821262,414
2017-12-01,88.53623188405788,414
2018-01-01,68.35990338164252,414
2018-02-01,62.85265700483091,414
2018-03-01,67.60386473429953,414
2018-04-01,68.66666666666664,414
2018-05-01,62.7101449275362,414
2018-06-01,74.1521739130435,414
2018-07-01,58.43719806763285,414
2018-08-01,56.91787439613524,414
2018-09-01,74.01207729468605,414
2018-10-01,78.18840579710144,414
2018-11-01,87.60144927536228,414
2018-12-01,81.32850241545901,414
2019-01-01,65.8454106280193,414
2019-02-01,62.75362318840577,414
2019-03-01,64.75603864734299,414
2019-04-01,62.113526570048315,414
2019-05-01,61.57004830917878,414
2019-06-01,78.14734299516903,414
2019-07-01,57.70289855072464,414
2019-08-01,55.6473429951691,414
