time,value
2007-01-01,-1.8429799029928908
2007-01-02,-2.9855653647514573
2007-01-03,-2.6986720172775986
2007-01-04,-2.320663361765539
2007-01-05,-3.0379594935300487
2007-01-06,-2.710692901934161
2007-01-07,-2.7812183783630138
2007-01-08,-2.10834307683907
2007-01-09,-2.186782076354191
2007-01-10,-1.7216527620194884
2007-01-11,-2.664988774679805
2007-01-12,-1.0892896998406736
2007-01-13,-1.5708166579171359
2007-01-14,-1.5211842428389792
2007-01-15,-1.9083835074399538
2007-01-16,-0.9865906636546524
2007-01-17,-0.8743599942936615
2007-01-18,-1.7461174848768517
2007-01-19,-2.0455652070323507
2007-01-20,-1.7942324170954917
2007-01-21,-2.7403620142117355
2007-01-22,-2.0811669879772374
2007-01-23,-1.4284452019712688
2007-01-24,-2.3187014952038516
2007-01-25,-1.514303579149758
2007-01-26,-2.3531045186426924
2007-01-27,-1.2793080064440925
2007-01-28,-1.93748696587066
2007-01-29,-1.7882570314567268
2007-01-30,-1.735279472032605
2007-01-31,-1.6538890352445699
2007-02-01,-2.1622680565276102
2007-02-02,-2.0015077840613067
2007-02-03,-2.796781120431576
2007-02-04,-0.7789375467050026
2007-02-05,-1.4132118677838372
2007-02-06,-2.4433862243028677
2007-02-07,-1.9712390448428678
2007-02-08,-1.9701421204647473
2007-02-09,-2.582666093532223
2007-02-10,-2.0607049419500703
2007-02-11,-1.312742993435661
2007-02-12,-2.168242349519411
2007-02-13,-1.5941383706926022
2007-02-14,-1.8318856298535071
2007-02-15,-1.779684729543499
2007-02-16,-2.468751985872473
2007-02-17,-2.6216892851885345
2007-02-18,-1.49746833571329
2007-02-19,-1.4776833323836431
2007-02-20,-1.7103369123025556
2007-02-21,-1.3748843393644583
2007-02-22,-1.2920465358643294
2007-02-23,-1.8306506444091362
2007-02-24,-1.2195036548136862
2007-02-25,-2.0874053566160917
2007-02-26,-1.8554287299427203
2007-02-27,-1.444591726059696
2007-02-28,-1.8737670988801107
2007-03-01,-1.960444955359446
2007-03-02,-2.151987381340647
2007-03-03,-0.7358129463833116
2007-03-04,-0.8496561866862885
2007-03-05,-0.9775954067155608
2007-03-06,-1.3234911892942975
2007-03-07,-1.9193335774925218
2007-03-08,-0.6793315570751524
2007-03-09,-2.3946079089490424
2007-03-10,-2.116238698346167
2007-03-11,-2.023872580352014
2007-03-12,-2.20151340740003
2007-03-13,-2.0235492036957066
2007-03-14,-1.571124708589758
2007-03-15,-1.6558655785622138
2007-03-16,-2.0318643339298883
2007-03-17,-0.80952089935568206
2007-03-18,-0.7881553529795328
2007-03-19,-1.3615962223852762
2007-03-20,-1.437066694425133
2007-03-21,-1.7260054668766025
2007-03-22,-1.3416664525161082
2007-03-23,-2.0782915777250177
2007-03-24,-2.457335972774961
2007-03-25,-0.7087102390506981
2007-03-26,-2.493515447786964
2007-03-27,-2.108637729363141
2007-03-28,-2.2450861378806928
2007-03-29,-2.224983870255454
2007-03-30,-1.1646976206824329
2007-03-31,-2.006870883648899
2007-04-01,-2.2269026193213364
2007-04-02,-1.599859879056707
2007-04-03,-0.554999296613235
2007-04-04,-1.2970235563849206
2007-04-05,-0.672893218495804
2007-04-06,-2.0586979797277163
2007-04-07,-1.8523407120399795
2007-04-08,-1.2374390201485486
2007-04-09,-1.9392942701446383
2007-04-10,-0.8088548289183138
2007-04-11,-0.9673673620423764
2007-04-12,-1.9138593713508734
2007-04-13,-1.8293658346852126
2007-04-14,-1.7379640479546308
2007-04-15,-1.387368545991052
2007-04-16,-1.8025758660783504
2007-04-17,-2.1092652102337737
2007-04-18,-1.3696708509927509
2007-04-19,-2.4063694125575963
2007-04-20,-1.677064942993319
