DATE,AUTLORSGPNOSTSAM
1960-02-01,98.6852929991257
1960-03-01,98.9777043524552
1960-04-01,99.2580475854892
1960-05-01,99.5100985126483
1960-06-01,99.7246759134551
1960-07-01,99.9117980872486
1960-08-01,100.090719264391
1960-09-01,100.281715887463
1960-10-01,100.498308513345
1960-11-01,100.741968814602
1960-12-01,100.994768596012
1961-01-01,101.20983550132
1961-02-01,101.335706434357
1961-03-01,101.343348163321
1961-04-01,101.259105666516
1961-05-01,101.130704774271
1961-06-01,100.99971079043
1961-07-01,100.877484831938
1961-08-01,100.760326324085
1961-09-01,100.643781212778
1961-10-01,100.53638222444
1961-11-01,100.448875129443
1961-12-01,100.382877227609
1962-01-01,100.31815941801
1962-02-01,100.227978860028
1962-03-01,100.094117536378
1962-04-01,99.9234968018444
1962-05-01,99.7326514651329
1962-06-01,99.5349203704923
1962-07-01,99.3292354770513
1962-08-01,99.1099481683136
1962-09-01,98.8770505920116
1962-10-01,98.6471652364154
1962-11-01,98.4478615096251
1962-12-01,98.3118812614959
1963-01-01,98.2693420038239
1963-02-01,98.3420127620611
1963-03-01,98.5307847594501
1963-04-01,98.7944185782657
1963-05-01,99.079233563148
1963-06-01,99.3431174618897
1963-07-01,99.5779595824593
1963-08-01,99.7919328331123
1963-09-01,99.9934656405275
1963-10-01,100.176408874271
1963-11-01,100.328862358786
1963-12-01,100.44313728286
1964-01-01,100.527673895635
1964-02-01,100.597646616048
1964-03-01,100.667545804845
1964-04-01,100.744703534708
1964-05-01,100.833583897357
1964-06-01,100.939407829885
1964-07-01,101.070797457761
1964-08-01,101.228367732139
1964-09-01,101.391319276974
1964-10-01,101.501961992062
1964-11-01,101.497281924938
1964-12-01,101.344157174407
1965-01-01,101.081978639375
1965-02-01,100.782319563979
1965-03-01,100.516514235682
1965-04-01,100.326747286561
1965-05-01,100.232998195571
1965-06-01,100.23437050144
1965-07-01,100.303253215518
1965-08-01,100.408114496346
1965-09-01,100.5311506875
1965-10-01,100.683225498657
1965-11-01,100.880586197368
1965-12-01,101.119290866265
1966-01-01,101.345969195773
1966-02-01,101.491581981814
1966-03-01,101.505974670609
1966-04-01,101.397823215567
1966-05-01,101.204818834321
1966-06-01,100.972184897415
1966-07-01,100.737402735899
1966-08-01,100.527708575213
1966-09-01,100.357840443108
1966-10-01,100.225970378617
1966-11-01,100.121364709937
1966-12-01,100.02905754717
1967-01-01,99.9323637940884
1967-02-01,99.8142068366765
1967-03-01,99.6585854165285
1967-04-01,99.4533853310252
1967-05-01,99.1953225422313
1967-06-01,98.8981054587269
1967-07-01,98.603940349658
1967-08-01,98.3619528917218
1967-09-01,98.2067488796303
1967-10-01,98.1334230938565
1967-11-01,98.1193140601299
1967-12-01,98.1391223185671
1968-01-01,98.1753174198497
1968-02-01,98.218262412607
1968-03-01,98.2648440490603
1968-04-01,98.3162680769685
1968-05-01,98.3736861743521
1968-06-01,98.4331120859402
1968-07-01,98.4795400265321
1968-08-01,98.4956374848431
1968-09-01,98.4709288482242
1968-10-01,98.4126679477627
1968-11-01,98.3383732670008
1968-12-01,98.2704613034574
1969-01-01,98.2317909109874
1969-02-01,98.2425485586805
1969-03-01,98.3147923365967
1969-04-01,98.4431318907454
1969-05-01,98.6123403004994
1969-06-01,98.8004386552418
1969-07-01,98.9784191692418
1969-08-01,99.1211666460602
1969-09-01,99.2187020971639
1969-10-01,99.2894640268908
1969-11-01,99.3647769336802
1969-12-01,99.4749777844617
1970-01-01,99.6350453202144
1970-02-01,99.848366497417
1970-03-01,100.106534266758
1970-04-01,100.38490851501
1970-05-01,100.65220038509
1970-06-01,100.878300325422
1970-07-01,101.042641768907
1970-08-01,101.131031858148
1970-09-01,101.1366317476
1970-10-01,101.066098123459
1970-11-01,100.935521385444
1970-12-01,100.77168699821
1971-01-01,100.617560521827
1971-02-01,100.514840964142
1971-03-01,100.486238919694
1971-04-01,100.514287825504
1971-05-01,100.562282170412
1971-06-01,100.590828445394
1971-07-01,100.572895687847
1971-08-01,100.498086825708
1971-09-01,100.38016117579
1971-10-01,100.268448141986
1971-11-01,100.215784105198
1971-12-01,100.246585894462
1972-01-01,100.320934385131
1972-02-01,100.379020490567
1972-03-01,100.382011758781
1972-04-01,100.353778219269
1972-05-01,100.349630072517
1972-06-01,100.427594994409
1972-07-01,100.618486433594
1972-08-01,100.92358624786
1972-09-01,101.303889894319
1972-10-01,101.660617787818
1972-11-01,101.887017997828
1972-12-01,101.922516224461
1973-01-01,101.815627037926
1973-02-01,101.658822633447
1973-03-01,101.533311158304
1973-04-01,101.45850145789
1973-05-01,101.424373605237
1973-06-01,101.419927251609
1973-07-01,101.458643861815
1973-08-01,101.563056079269
1973-09-01,101.746622999321
1973-10-01,101.991071660119
1973-11-01,102.259773114163
1973-12-01,102.506833627924
1974-01-01,102.684740559815
1974-02-01,102.752602274105
1974-03-01,102.689617523592
1974-04-01,102.516333611636
1974-05-01,102.266081174314
1974-06-01,101.964620115274
1974-07-01,101.615976787018
1974-08-01,101.214229620863
1974-09-01,100.758842761691
1974-10-01,100.27373786551
1974-11-01,99.7895542287351
1974-12-01,99.3287824798433
1975-01-01,98.8915748877579
1975-02-01,98.4730483296803
1975-03-01,98.0787721864731
1975-04-01,97.7388709512287
1975-05-01,97.4931972446797
1975-06-01,97.3732925448367
1975-07-01,97.3780155786439
1975-08-01,97.4866084425932
1975-09-01,97.6624344159819
1975-10-01,97.8491077889048
1975-11-01,97.9950677019725
1975-12-01,98.0775290192367
1976-01-01,98.1292405649866
1976-02-01,98.2064785366969
