Periode;Jahr;Halbjahr;Quartal;Monat;Tag;Indikator;Einheit;Status;Produzent;Region / Geschäftspartner;Datentyp;Werte;Sortierkriterium des Indikators
Jahr;2018;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Schweden;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,65;AB005C027
Jahr;2018;;;;;Renditen langfr. staatl. Schuldverschreibungen, Vereinigtes Königreich;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;1,41;AB005C028
Jahr;2018;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Norwegen;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;1,83;AB005C029
Jahr;2018;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Schweiz;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,03;AB005C030
Jahr;2018;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, USA;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;2,81;AB005C031
Jahr;2018;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Japan;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,06;AB005C032
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Belgien;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,19;AB005C000
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Zypern;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;1,07;AB005C001
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Deutschland;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;-0,25;AB005C002
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Griechenland;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;2,59;AB005C003
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Irland;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,33;AB005C004
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Spanien;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,66;AB005C005
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Frankreich;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,13;AB005C006
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Italien;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;1,95;AB005C007
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Luxemburg;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;-0,12;AB005C008
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Malta;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,67;AB005C009
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Niederlande;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;-0,07;AB005C010
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Österreich;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,06;AB005C011
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Portugal;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,76;AB005C012
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Slowenien;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,28;AB005C013
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Finnland;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,07;AB005C014
Jahr;2019;;;;;Rend. lf staatl. Schuldverschr., Euroraum - wechselnde Zusammensetzung;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,58;AB005C015
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Bulgarien;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,43;AB005C016
Jahr;2019;;;;;Renditen langfr. staatl. Schuldverschreibungen, Tschechische Republik;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;1,55;AB005C017
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Dänemark;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;-0,19;AB005C018
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Lettland;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,34;AB005C020
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Litauen;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,31;AB005C021
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Ungarn;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;2,47;AB005C022
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Polen;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;2,35;AB005C023
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Rumänien;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,54;AB005C024
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Kroatien;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;1,29;AB005C025
Jahr;2019;;;;;Renditen langfr. staatl. Schuldverschreibungen, Slowakische Republik;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,25;AB005C026
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Schweden;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,04;AB005C027
Jahr;2019;;;;;Renditen langfr. staatl. Schuldverschreibungen, Vereinigtes Königreich;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,88;AB005C028
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Norwegen;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;1,52;AB005C029
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Schweiz;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;-0,43;AB005C030
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, USA;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;2,33;AB005C031
Jahr;2019;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Japan;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;-0,08;AB005C032
